Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2020,Spring,NR,94459,ARTS,1030,1,T,4,DIGITAL FILMMAKING,MR,12:00 pm-01:50 pm,14,13,1,0,0,0,0,0,0,Elizabeth Press (P),01/13-05/08,WEST 211,
2020,Spring,C,95034,ARTS,1030,2,T,4,DIGITAL FILMMAKING,MR,12:00 pm-01:50 pm,5,5,0,0,0,0,0,0,0,Elizabeth Press (P),01/13-05/08,WEST 211,
2020,Spring,NR,95035,ARTS,1030,3,T,4,DIGITAL FILMMAKING,MR,10:00 am-11:50 am,14,13,1,0,0,0,0,0,0,Elizabeth Press (P),01/13-05/08,WEST 211,
2020,Spring,C,95230,ARTS,1030,4,T,4,DIGITAL FILMMAKING,MR,10:00 am-11:50 am,5,5,0,0,0,0,0,0,0,Elizabeth Press (P),01/13-05/08,WEST 211,
2020,Spring,NR,94490,ARTS,1050,1,T,4,ART HISTORY: PALEOLITHIC TO CONTEMPORARY,TF,02:00 pm-03:50 pm,60,56,4,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),01/13-05/08,GREENE 120,Communication Intensive
2020,Spring,C,93640,ARTS,1200,1,T,4,BASIC DRAWING,MR,02:00 pm-03:50 pm,19,19,0,19,12,7,0,0,0,Kenneth A. Ragsdale (P),01/13-05/08,WEST 411,
2020,Spring,C,93519,ARTS,1200,2,T,4,BASIC DRAWING,TF,12:00 pm-01:50 pm,19,19,0,19,0,19,0,0,0,Kenneth A. Ragsdale (P),01/13-05/08,WEST 411,
2020,Spring,C,95205,ARTS,1380,1,T,4,FUNDAMENTALS OF MUSIC & SOUND,TF,10:00 am-11:50 am,15,15,0,5,0,5,0,0,0,Kathleen A. Galloway (P),01/13-05/08,WEST 211,
2020,Spring,NR,95925,ARTS,1380,2,T,4,FUNDAMENTALS OF MUSIC & SOUND,TF,08:00 am-09:50 am,15,13,2,0,0,0,0,0,0,Kathleen A. Galloway (P),01/13-05/08,WEST 211,
2020,Spring,NR,95661,ARTS,2040,1,T,4,INTERMEDIATE DIGITAL IMAGING,TF,10:00 am-11:50 am,19,15,4,5,0,5,0,0,0,Nathan Scott Meltz (P),01/13-05/08,WEST 214,
