Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2020,Summer,NR,15371,ARTS,1050,1,T,4,ART HISTORY: PALEOLITHIC TO CONTEMPORARY,MR,10:30 am-12:35 pm,60,54,6,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),05/26-08/21,LOW 4050,Communication Intensive
2020,Summer,C,15710,ARTS,1380,1,T,4,FUNDAMENTALS OF MUSIC & SOUND,MTRF,10:30 am-12:35 pm,19,21,-2,3,0,3,0,0,0,Matthew J. Chamberlain (P),07/13-08/21,TBA,
2020,Summer,C,15688,ARTS,2020,1,T,4,MUSIC AND TECHNOLOGY 1,MR,08:00 am-10:05 am,19,19,0,3,0,3,0,0,0,Robert Kyle Hamilton (P),05/26-08/21,WEST 118,
2020,Summer,NR,15778,ARTS,2540,1,T,4,THE MULTIMEDIA CENTURY,TF,08:00 am-10:05 am,19,13,6,3,0,3,0,0,0,Kathleen A. Galloway (P),05/26-08/21,TBA,Communication Intensive
2020,Summer,NR,15669,ARTS,2700,1,T,4,SOUND RECORDING & PROD I,,TBA,10,7,3,0,0,0,19,12,7,Ross A. Rice (P),05/26-07/10,TBA,
2020,Summer,NR,15670,ARTS,2700,2,T,4,SOUND RECORDING & PROD I,,TBA,9,5,4,0,0,0,19,12,7,Ross A. Rice (P),05/26-07/10,TBA,
2020,Summer,NR,15739,ARTS,2750,1,T,1,PRIVATE MUSIC LESSONS: VIOLIN,,TBA,9,0,9,0,0,0,0,0,0,"Jamecyn F. Morey (P), Christopher James Fisher-Lochhead",05/26-08/21,TBA,
2020,Summer,NR,15740,ARTS,2750,2,T,1,PRIVATE MUSIC LESSONS: VIOLA,,TBA,9,0,9,0,0,0,0,0,0,"Jamecyn F. Morey (P), Christopher James Fisher-Lochhead",05/26-08/21,TBA,
2020,Summer,NR,15741,ARTS,2750,3,T,1,PRIVATE MUSIC LESSONS: FLUTE,,TBA,9,0,9,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",05/26-08/21,TBA,
2020,Summer,NR,15742,ARTS,2750,4,T,1,PRIVATE MUSIC LESSONS: OBOE,,TBA,9,0,9,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",05/26-08/21,TBA,
2020,Summer,NR,15743,ARTS,2750,5,T,1,PRIVATE MUSIC LESSONS:CLARINET,,TBA,9,1,8,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",05/26-08/21,TBA,
2020,Summer,NR,15744,ARTS,2750,6,T,1,PRIVATE MUSIC LESSONS: SAX,,TBA,9,0,9,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",05/26-08/21,TBA,
2020,Summer,NR,15745,ARTS,2750,7,T,1,PRIVATE MUSIC LESSONS: HARP,,TBA,9,0,9,0,0,0,0,0,0,"Karlinda D. Caldicott (P), Christopher James Fisher-Lochhead",05/26-08/21,TBA,
2020,Summer,NR,15746,ARTS,2750,8,T,1,PRIVATEMUSICLESSONS:PERCUSSION,,TBA,9,0,9,0,0,0,0,0,0,"Graeme S. Francis (P), Christopher James Fisher-Lochhead",05/26-08/21,TBA,
2020,Summer,NR,15747,ARTS,2750,9,T,1,PRIVATE MUSIC LESSONS: VOICE,,TBA,9,1,8,0,0,0,0,0,0,"Elissa Marie Harrigan (P), Christopher James Fisher-Lochhead",05/26-08/21,TBA,
2020,Summer,NR,15748,ARTS,2750,10,T,1,PRIVATE MUSIC LESSONS: TRUMPET,,TBA,9,2,7,0,0,0,0,0,0,"Omar Williams (P), Christopher James Fisher-Lochhead",05/26-08/21,TBA,
2020,Summer,NR,15691,ARTS,2965,1,T,4,GAME SOUND & MUSICAL PLAY,MR,08:00 am-10:05 am,19,13,6,0,0,0,0,0,0,Kathleen A. Galloway (P),05/26-08/21,TBA,Communication Intensive
2020,Summer,NR,15693,ARTS,2967,1,T,4,VIDEO ART,,TBA,16,11,5,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),05/26-08/21,TBA,
2020,Summer,NR,15808,ARTS,4070,1,T,4,3D ANIMATION,,TBA,25,19,6,0,0,0,0,0,0,Silvia Ruzanka (P),05/26-08/21,TBA,
