Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2020,Fall,C,25819,ARTS,1020,1,T,4,DIGITAL IMAGING,TF,10:10 am-12:00 pm,10,10,0,6,0,6,19,19,0,Nathan Scott Meltz (P),08/31-12/21,ONLINE,Online Course
2020,Fall,C,25820,ARTS,1020,2,T,4,DIGITAL IMAGING,TF,10:10 am-12:00 pm,9,9,0,5,0,5,19,19,0,Nathan Scott Meltz (P),08/31-12/21,ONLINE,Online Course
2020,Fall,NR,30466,ARTS,1020,3,T,4,DIGITAL IMAGING,TR,06:55 pm-08:45 pm,17,16,1,6,0,6,19,18,1,Matthew Brennan O'Hare (P),08/31-12/21,WEST 214,Hybrid:Online/In-Person Course
2020,Fall,C,30467,ARTS,1020,4,T,4,DIGITAL IMAGING,TR,06:55 pm-08:45 pm,2,2,0,0,0,0,19,18,1,Matthew Brennan O'Hare (P),08/31-12/21,WEST 214,Hybrid:Online/In-Person Course
2020,Fall,NR,29548,ARTS,1030,1,T,4,DIGITAL FILMMAKING,MR,12:20 pm-02:10 pm,14,10,4,0,0,0,19,16,3,Elizabeth Press (P),08/31-12/21,WEST 211,Hybrid:Online/In-Person Course
2020,Fall,C,29549,ARTS,1030,2,T,4,DIGITAL FILMMAKING,MR,12:20 pm-02:10 pm,5,6,-1,0,0,0,19,16,3,Elizabeth Press (P),08/31-12/21,WEST 211,Hybrid:Online/In-Person Course
2020,Fall,C,30143,ARTS,1030,3,T,4,DIGITAL FILMMAKING,MR,06:55 pm-08:45 pm,10,10,0,0,0,0,19,19,0,Igor Vamos (P),08/31-12/21,WEST 211,Hybrid:Online/In-Person Course
2020,Fall,C,30144,ARTS,1030,4,T,4,DIGITAL FILMMAKING,MR,06:55 pm-08:45 pm,9,9,0,0,0,0,19,19,0,Igor Vamos (P),08/31-12/21,WEST 211,Hybrid:Online/In-Person Course
2020,Fall,C,28787,ARTS,1050,1,T,4,ART HISTORY: PALEOLITHIC TO CONTEMPORARY,TF,02:30 pm-04:20 pm,60,64,-4,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),08/31-12/21,ONLINE,Communication Intensive and Online Course
2020,Fall,C,25818,ARTS,1200,1,T,4,BASIC DRAWING,TF,12:20 pm-02:10 pm,19,19,0,4,0,4,0,0,0,Kenneth A. Ragsdale (P),08/31-12/21,WEST 411,In-Person Course
2020,Fall,NR,26023,ARTS,1200,2,T,4,BASIC DRAWING,MR,02:30 pm-04:20 pm,19,17,2,4,0,4,0,0,0,Kenneth A. Ragsdale (P),08/31-12/21,WEST 411,In-Person Course
2020,Fall,C,29453,ARTS,1380,1,T,4,FUNDAMENTALS OF MUSIC & SOUND,TF,02:30 pm-04:20 pm,19,19,0,0,0,0,0,0,0,Christopher James Fisher-Lochhead (P),08/31-12/21,WEST 323,Hybrid:Online/In-Person Course
