Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2021,FALL,C,50290,ARTS,1020,1,T,4,DIGITAL IMAGING,TF,10:00 am-11:50 am,10,11,-1,6,0,6,0,0,0,Nathan Scott Meltz (P),08/30-12/10,WEST 214,
2021,FALL,NR,50291,ARTS,1020,2,T,4,DIGITAL IMAGING,TF,10:00 am-11:50 am,9,8,1,0,0,0,0,0,0,Nathan Scott Meltz (P),08/30-12/10,WEST 214,
2021,FALL,C,53775,ARTS,1030,1,T,4,DIGITAL FILMMAKING,MR,12:00 pm-01:50 pm,19,19,0,0,0,0,0,0,0,Elizabeth Press (P),08/30-12/10,WEST 214,
2021,FALL,NR,54258,ARTS,1030,3,T,4,DIGITAL FILMMAKING,MR,06:00 pm-07:50 pm,10,8,2,0,0,0,19,17,2,Igor Vamos (P),08/30-12/10,WEST 211,
2021,FALL,C,54259,ARTS,1030,4,T,4,DIGITAL FILMMAKING,MR,06:00 pm-07:50 pm,9,9,0,0,0,0,19,17,2,Igor Vamos (P),08/30-12/10,WEST 211,
2021,FALL,NR,53170,ARTS,1050,1,T,4,ART HISTORY: PALEOLITHIC TO CONTEMPORARY,TF,02:00 pm-03:50 pm,60,52,8,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),08/30-12/10,SAGE 4101,Communication Intensive
2021,FALL,C,50289,ARTS,1200,1,T,4,BASIC DRAWING,TF,12:00 pm-01:50 pm,19,19,0,4,0,4,0,0,0,Kenneth A. Ragsdale (P),08/30-12/10,WEST 411,
2021,FALL,C,50488,ARTS,1200,2,T,4,BASIC DRAWING,MR,02:00 pm-03:50 pm,19,19,0,4,0,4,0,0,0,Kenneth A. Ragsdale (P),08/30-12/10,WEST 411,
2021,FALL,C,53718,ARTS,1380,1,T,4,FUNDAMENTALS OF MUSIC & SOUND,TF,10:00 am-11:50 am,19,20,-1,0,0,0,0,0,0,Christopher James Fisher-Lochhead (P),08/30-12/10,WEST 323,
2021,FALL,C,54882,ARTS,1380,2,T,4,FUNDAMENTALS OF MUSIC & SOUND,MR,12:00 pm-01:50 pm,19,20,-1,0,0,0,0,0,0,Tamara Dworetz (P),08/30-12/10,WEST 323,
2021,FALL,NR,53545,ARTS,2010,1,T,4,INTERMEDIATE VIDEO,MR,10:00 am-11:50 am,16,10,6,0,0,0,0,0,0,Elizabeth Press (P),08/30-12/10,WEST 211,
2021,FALL,NR,50292,ARTS,2020,1,T,4,MUSIC AND TECHNOLOGY 1,MR,10:00 am-11:50 am,10,9,1,1,0,1,0,0,0,Cory Ryan Kasprzyk (P),08/30-12/10,DARRIN 174,
2021,FALL,C,53783,ARTS,2020,2,T,4,MUSIC AND TECHNOLOGY 1,MR,10:00 am-11:50 am,9,9,0,0,0,0,0,0,0,Cory Ryan Kasprzyk (P),08/30-12/10,DARRIN 174,
2021,FALL,NR,54676,ARTS,2040,1,T,4,INTERMEDIATE DIGITAL IMAGING,TR,06:00 pm-07:50 pm,19,10,9,0,0,0,0,0,0,Kathleen Ruiz (P),08/30-12/10,WEST 214,
2021,FALL,C,53467,ARTS,2070,1,T,4,GRAPHIC STORYTELLING,TF,08:00 am-09:50 am,19,19,0,6,0,6,0,0,0,Nathan Scott Meltz (P),08/30-12/10,WEST 214,
2021,FALL,C,53483,ARTS,2200,1,T,4,INTERMEDIATE DRAWING,TF,10:00 am-11:50 am,19,20,-1,0,0,0,0,0,0,Kenneth A. Ragsdale (P),08/30-12/10,WEST 411,
2021,FALL,NR,52748,ARTS,2210,1,T,4,SCULPTURE I,MR,12:00 pm-01:50 pm,16,15,1,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),08/30-12/10,SAGE 1211,
2021,FALL,C,53784,ARTS,2220,1,T,4,FUNDAMENTALS OF 2D DESIGN,TF,02:00 pm-03:50 pm,19,19,0,6,0,6,0,0,0,Nathan Scott Meltz (P),08/30-12/10,WEST 214,
2021,FALL,C,53468,ARTS,2230,1,T,4,3D DIGITAL MODELING,TF,10:00 am-11:50 am,19,19,0,0,0,0,0,0,0,Kolel Christopher Pryor (P),08/30-12/10,SAGE 2411,
2021,FALL,NR,54677,ARTS,2300,1,T,1,RENSSELAER ORCHESTRA,MR,04:00 pm-05:50 pm,50,46,4,0,0,0,0,0,0,Tamara Dworetz (P),08/30-12/10,WEST 326,
2021,FALL,NR,54678,ARTS,2310,1,T,1,RENSSELAER CONCERT CHOIR,MR,06:00 pm-07:50 pm,40,16,24,0,0,0,0,0,0,Tamara Dworetz (P),08/30-12/10,WEST 110,
2021,FALL,NR,54679,ARTS,2350,1,T,1,CHAMBER MUSIC ENSEMBLE,W,03:00 pm-05:50 pm,40,26,14,0,0,0,0,0,0,Christopher James Fisher-Lochhead (P),08/30-12/10,WEST 323,
2021,FALL,C,53717,ARTS,2380,1,T,4,MUSIC AND SOUND I,TF,12:00 pm-01:50 pm,19,19,0,0,0,0,0,0,0,Christopher James Fisher-Lochhead (P),08/30-12/10,WEST 323,
2021,FALL,NR,52695,ARTS,2540,1,T,4,THE MULTIMEDIA CENTURY,MR,10:00 am-11:50 am,38,34,4,0,0,0,0,0,0,Michael L. Century (P),08/30-12/10,WEST 323,Communication Intensive
2021,FALL,C,54264,ARTS,2700,1,T,4,SOUND RECORDING & PROD I,MR,12:00 pm-01:50 pm,4,5,-1,2,0,2,0,0,0,Ross A. Rice (P),08/30-12/10,DARRIN 174,
2021,FALL,,,,,,,,,W,04:00 pm-05:50 pm,,,,,,,,,,Ross A. Rice (P),08/30-12/10,DARRIN 174,
2021,FALL,C,54265,ARTS,2700,2,T,4,SOUND RECORDING & PRODUCTION I,MR,12:00 pm-01:50 pm,4,4,0,2,0,2,0,0,0,Ross A. Rice (P),08/30-12/10,DARRIN 174,
2021,FALL,,,,,,,,,W,06:00 pm-07:50 pm,,,,,,,,,,Ross A. Rice (P),08/30-12/10,DARRIN 174,
2021,FALL,C,54266,ARTS,2700,3,T,4,SOUND RECORDING & PROD I,MR,12:00 pm-01:50 pm,4,4,0,2,0,2,0,0,0,Ross A. Rice (P),08/30-12/10,DARRIN 174,
2021,FALL,,,,,,,,,W,08:00 pm-09:50 pm,,,,,,,,,,Ross A. Rice (P),08/30-12/10,DARRIN 174,
2021,FALL,NR,54432,ARTS,2750,1,T,1,PRIVATE MUSIC LESSONS: VIOLIN,,TBA,10,9,1,0,0,0,0,0,0,"Jamecyn F. Morey (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54433,ARTS,2750,2,T,1,PRIVATE MUSIC LESSONS: VIOLA,,TBA,10,1,9,0,0,0,0,0,0,"Jamecyn F. Morey (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54434,ARTS,2750,3,T,1,PRIVATE MUSIC LESSONS: CELLO,,TBA,10,2,8,0,0,0,0,0,0,"David Bebe (P), Christopher James Fisher-Lochhead , Margaret Conley Harwood",08/30-12/10,TBA,
2021,FALL,NR,54435,ARTS,2750,4,T,1,PRIVATE MUSIC LESSONS: BASS,,TBA,10,0,10,0,0,0,0,0,0,Christopher James Fisher-Lochhead (P),08/30-12/10,TBA,
2021,FALL,NR,54436,ARTS,2750,5,T,1,PRIVATE MUSIC LESSONS: FLUTE,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54437,ARTS,2750,6,T,1,PRIVATE MUSIC LESSONS: OBOE,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54438,ARTS,2750,7,T,1,PRIVATE MUSIC LESSONS:CLARINET,,TBA,10,2,8,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54439,ARTS,2750,8,T,1,PRIVATE MUSIC LESSONS:BASSOON,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54440,ARTS,2750,9,T,1,PRIVATE MUSIC LESSONS: SAX,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54442,ARTS,2750,10,T,1,PRIVATE MUSIC LESSONS: HARP,,TBA,10,0,10,0,0,0,0,0,0,"Karlinda D. Caldicott (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,C,54443,ARTS,2750,11,T,1,PRIVATE MUSIC LESSONS:PERCUSS,,TBA,0,1,-1,0,0,0,0,0,0,"Mark Foster (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54444,ARTS,2750,12,T,1,PRIVATE MUSIC LESSONS: TRUMPET,,TBA,10,3,7,0,0,0,0,0,0,"Omar Williams (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54445,ARTS,2750,13,T,1,PRIVATE MUSIC LESSONS: VOICE,,TBA,10,8,2,0,0,0,0,0,0,"Elissa Marie Harrigan (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54446,ARTS,2750,14,T,1,PRIVATE MUSIC LESSONS: PIANO,,TBA,10,6,4,0,0,0,0,0,0,"Chrysi Nanou (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54447,ARTS,2750,15,T,1,PRIVATE MUSIC LESSONS: PIANO,,TBA,10,7,3,0,0,0,0,0,0,"Akina Yura (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54448,ARTS,2750,16,T,1,PRIVATE MUSIC LESSONS: PIANO,,TBA,10,7,3,0,0,0,0,0,0,"Jingwen Tu (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54680,ARTS,2750,17,T,1,PRIVATE MUSIC LESSON: TROMBONE,,TBA,10,0,10,0,0,0,0,0,0,"Charles W. Olencki (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54681,ARTS,2750,18,T,1,PRIVATE MUSIC LESSONS: TUBA,,TBA,10,1,9,0,0,0,0,0,0,"Charles W. Olencki (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54683,ARTS,2750,19,T,1,PRIVATE MUSIC LESSONS: GUITAR,,TBA,10,8,2,0,0,0,0,0,0,"Paul J. Quigley (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54684,ARTS,2750,20,T,1,MUSIC LESSONS: EUPHONIUM,,TBA,10,0,10,0,0,0,0,0,0,"Charles W. Olencki (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54686,ARTS,2750,21,T,1,MUSIC LESSONS: JAZZ IMPROV,,TBA,10,0,10,0,0,0,0,0,0,"Matthew P. Steckler (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54687,ARTS,2750,22,T,1,MUSIC LESSONS: JAZZ SAX,,TBA,10,0,10,0,0,0,0,0,0,"Matthew P. Steckler (P), Christopher James Fisher-Lochhead",08/30-12/10,TBA,
2021,FALL,NR,54691,ARTS,2960,1,T,4,ART OF SONGWRITING,MR,02:00 pm-03:50 pm,19,18,1,0,0,0,0,0,0,Ross A. Rice (P),08/30-12/10,DARRIN 174,
2021,FALL,NR,54692,ARTS,2961,1,T,4,DESIGNING MUSICAL GAMES,MR,12:00 pm-01:50 pm,19,17,2,0,0,0,0,0,0,Robert Kyle Hamilton (P),08/30-12/10,SAGE 2411,
2021,FALL,NR,54267,ARTS,4040,1,T,4,RETHINKING DOCUMENTARY:VIDEO PRODUCTION,MR,04:00 pm-05:50 pm,9,5,4,2,0,2,19,5,14,Branda Miller (P),08/30-12/10,WEST 113,
2021,FALL,NR,52696,ARTS,4070,1,T,4,3D ANIMATION,TF,12:00 pm-01:50 pm,19,14,5,0,0,0,0,0,0,Silvia Ruzanka (P),08/30-12/10,SAGE 2411,
2021,FALL,NR,54839,ARTS,4120,1,T,4,BIOPUNK: ARTS LAB PRACTICE,MR,10:00 am-11:50 am,15,14,1,0,0,0,19,17,2,Kathryn High (P),08/30-12/10,WEST 214,
2021,FALL,NR,54700,ARTS,4210,1,T,4,SCULPTURE II,MR,02:00 pm-03:50 pm,16,9,7,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),08/30-12/10,SAGE 1211,
2021,FALL,C,53484,ARTS,4220,1,T,4,PAINTING,TR,06:00 pm-07:50 pm,19,19,0,0,0,0,19,19,0,Monica A. Hughes (P),08/30-12/10,WEST 411,
2021,FALL,NR,53785,ARTS,4380,1,T,4,MUSIC AND SOUND II,TF,10:00 am-11:50 am,19,15,4,0,0,0,0,0,0,Matthew William Goodheart (P),08/30-12/10,WEST 326,
2021,FALL,NR,54701,ARTS,4390,1,T,4,COMPOSITION SEMINAR,MR,02:00 pm-03:50 pm,19,11,8,0,0,0,0,0,0,Matthew William Goodheart (P),08/30-12/10,WEST 323,
2021,FALL,NR,54830,ARTS,4500,1,T,4,REMIX & DIGITAL CULTURE,MR,04:00 pm-05:50 pm,19,16,3,0,0,0,19,17,2,Kathleen A. Galloway (P),08/30-12/10,WEST 214,Communication Intensive
2021,FALL,C,54269,ARTS,4560,1,T,4,HACTIVISM,T,06:00 pm-09:50 pm,19,13,6,0,0,0,19,19,0,Igor Vamos (P),08/30-12/10,WEST 211,
2021,FALL,C,54366,ARTS,4840,1,T,4,CREATIVE SEMINAR I,TF,10:00 am-11:50 am,19,20,-1,0,0,0,0,0,0,Kathryn High (P),08/30-12/10,WEST 211,
2021,FALL,NR,54271,ARTS,6050,1,T,4,RETHINKING DOCUMENTARY: VIDEO PRODUCTION,MR,04:00 pm-05:50 pm,10,0,10,0,0,0,19,5,14,Branda Miller (P),08/30-12/10,WEST 113,
2021,FALL,NR,54840,ARTS,6120,1,T,3,BIOPUNK: ARTS LAB PRACTICE,MR,10:00 am-11:50 am,4,3,1,0,0,0,19,17,2,Kathryn High (P),08/30-12/10,WEST 214,
2021,FALL,C,54272,ARTS,6220,1,T,4,PAINTING,TR,06:00 pm-07:50 pm,19,0,19,0,0,0,19,19,0,Monica A. Hughes (P),08/30-12/10,WEST 411,
2021,FALL,C,52434,ARTS,6400,1,T,4,EXPERIMENTAL GAME DESIGN,W,02:00 pm-05:50 pm,26,0,26,2,0,2,26,31,-5,Kathleen Ruiz (P),08/30-12/10,SAGE 2411,
2021,FALL,C,54270,ARTS,6560,1,T,4,HACTIVISM,T,06:00 pm-09:50 pm,19,6,13,0,0,0,19,19,0,Igor Vamos (P),08/30-12/10,WEST 211,
2021,FALL,NR,53003,ARTS,6900,1,T,3,ARTS GRADUATE COLLOQUIUM,W,11:30 am-02:20 pm,15,6,9,0,0,0,0,0,0,Kathleen A. Galloway (P),08/30-12/10,WEST 113,
2021,FALL,NR,54831,ARTS,6962,1,T,4,REMIX & DIGITAL CULTURE,MR,04:00 pm-05:50 pm,19,1,18,0,0,0,19,17,2,Kathleen A. Galloway (P),08/30-12/10,WEST 214,
2021,FALL,NR,51458,ARTS,9990,1,T,1.000-16.000,DISSERTATION,,TBA,10,1,9,0,0,0,0,0,0,Maryanne Staniszewski (P),08/30-12/10,TBA,
2021,FALL,NR,54360,ARTS,9990,2,T,1.000-16.000,DISSERTATION,,TBA,10,1,9,0,0,0,0,0,0,Benjamin Chia-Ming Chang (P),08/30-12/10,TBA,
2021,FALL,NR,53601,ARTS,9990,3,T,1.000-16.000,DISSERTATION,,TBA,10,1,9,0,0,0,0,0,0,Robert Kyle Hamilton (P),08/30-12/10,TBA,
2021,FALL,NR,54361,ARTS,9990,4,T,1.000-16.000,DISSERTATION,,TBA,10,2,8,0,0,0,0,0,0,Matthew William Goodheart (P),08/30-12/10,TBA,
2021,FALL,NR,54362,ARTS,9990,5,T,1.000-16.000,DISSERTATION,,TBA,10,0,10,0,0,0,0,0,0,Mary Simoni (P),08/30-12/10,TBA,
2021,FALL,NR,52502,ARTS,9990,6,T,1.000-16.000,DISSERTATION,,TBA,10,1,9,0,0,0,0,0,0,Michael L. Century (P),08/30-12/10,TBA,
2021,FALL,NR,52505,ARTS,9990,7,T,1.000-16.000,DISSERTATION,,TBA,10,1,9,0,0,0,0,0,0,Robert F. Nideffer (P),08/30-12/10,TBA,
2021,FALL,NR,52786,ARTS,9990,8,T,1.000-16.000,DISSERTATION,,TBA,10,3,7,0,0,0,0,0,0,Kathryn High (P),08/30-12/10,TBA,
2021,FALL,NR,54363,ARTS,9990,9,T,1.000-16.000,DISSERTATION,,TBA,10,0,10,0,0,0,0,0,0,Kathleen Ruiz (P),08/30-12/10,TBA,
