Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2018,Spring,NR,51293,ARTS,1020,1,T,4,MEDIA STUDIO:IMAGING,T,10:00 am-11:50 am,19,18,1,0,0,0,0,0,0,Nathan Scott Meltz (P),01/16-05/11,WEST AUD,Introductory Level Course
2018,Spring,,,,,,,,,F,10:00 am-11:50 am,,,,,,,,,,Nathan Scott Meltz,01/16-05/11,WEST 211,Introductory Level Course
2018,Spring,C,51294,ARTS,1020,2,T,4,MEDIA STUDIO:IMAGING,T,10:00 am-11:50 am,10,10,0,0,0,0,38,34,4,Silvia Ruzanka (P),01/16-05/11,WEST AUD,Introductory Level Course
2018,Spring,,,,,,,,,F,10:00 am-11:50 am,,,,,,,,,,Silvia Ruzanka,01/16-05/11,WEST 214,Introductory Level Course
2018,Spring,C,54458,ARTS,1020,3,T,4,MEDIA STUDIO:IMAGING,T,10:00 am-11:50 am,9,9,0,0,0,0,38,34,4,Silvia Ruzanka (P),01/16-05/11,WEST AUD,Introductory Level Course
2018,Spring,,,,,,,,,F,10:00 am-11:50 am,,,,,,,,,,Silvia Ruzanka,01/16-05/11,WEST 214,Introductory Level Course
2018,Spring,NR,54459,ARTS,1020,4,T,4,MEDIA STUDIO:IMAGING,T,10:00 am-11:50 am,10,9,1,0,0,0,38,34,4,Silvia Ruzanka (P),01/16-05/11,WEST AUD,Introductory Level Course
2018,Spring,,,,,,,,,W,10:00 am-11:50 am,,,,,,,,,,Silvia Ruzanka (P),01/16-05/11,WEST 214,Introductory Level Course
2018,Spring,NR,55557,ARTS,1020,5,T,4,MEDIA STUDIO:IMAGING,T,10:00 am-11:50 am,9,6,3,0,0,0,38,34,4,Silvia Ruzanka (P),01/16-05/11,WEST AUD,Introductory Level Course
2018,Spring,,,,,,,,,W,10:00 am-11:50 am,,,,,,,,,,Silvia Ruzanka (P),01/16-05/11,WEST 214,Introductory Level Course
