Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2022,Fall,C,55271,ARTS,1020,1,T,4,DIGITAL IMAGING,TF,02:00 pm-03:50 pm,10,10,0,6,2,4,0,0,0,Nathan Scott Meltz (P),08/29-12/20,WEST 214,
2022,Fall,C,55272,ARTS,1020,2,T,4,DIGITAL IMAGING,TF,02:00 pm-03:50 pm,9,9,0,0,0,0,0,0,0,Nathan Scott Meltz (P),08/29-12/20,WEST 214,
2022,Fall,NR,58620,ARTS,1030,1,T,4,DIGITAL FILMMAKING,MR,12:00 pm-01:50 pm,19,18,1,0,0,0,0,0,0,Elizabeth Press (P),08/29-12/20,WEST 214,
2022,Fall,NR,59050,ARTS,1030,3,T,4,DIGITAL FILMMAKING,MR,06:00 pm-07:50 pm,10,9,1,0,0,0,0,0,0,Eleanor R. Goldsmith (P),08/29-12/20,WEST 211,
2022,Fall,NR,59051,ARTS,1030,4,T,4,DIGITAL FILMMAKING,MR,06:00 pm-07:50 pm,9,8,1,0,0,0,0,0,0,Eleanor R. Goldsmith (P),08/29-12/20,WEST 211,
2022,Fall,NR,58068,ARTS,1050,1,T,4,ART HISTORY: PALEOLITHIC TO CONTEMPORARY,TF,02:00 pm-03:50 pm,60,54,6,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),08/29-12/20,SAGE 4101,Communication Intensive
2022,Fall,C,55270,ARTS,1200,1,T,4,BASIC DRAWING,MR,12:00 pm-01:50 pm,19,19,0,4,2,2,0,0,0,Kenneth A. Ragsdale (P),08/29-12/20,WEST 411,
2022,Fall,C,55458,ARTS,1200,2,T,4,BASIC DRAWING,MR,02:00 pm-03:50 pm,19,19,0,4,0,4,0,0,0,Jennifer Mae Kemp (P),08/29-12/20,WEST 411,
2022,Fall,NR,59891,ARTS,1200,3,T,4,BASIC DRAWING,TF,02:00 pm-03:50 pm,19,18,1,0,0,0,0,0,0,Jennifer Mae Kemp (P),08/29-12/20,WEST 411,
2022,Fall,NR,58572,ARTS,1380,1,T,4,FUNDAMENTALS OF MUSIC & SOUND,TF,08:00 am-09:50 am,19,17,2,0,0,0,0,0,0,Patrick Alan Burke (P),08/29-12/20,WEST 323,
2022,Fall,NR,58407,ARTS,2010,1,T,4,INTERMEDIATE VIDEO,MR,10:00 am-11:50 am,19,11,8,0,0,0,0,0,0,Elizabeth Press (P),08/29-12/20,WEST 211,
2022,Fall,C,55273,ARTS,2020,1,T,4,MUSIC AND TECHNOLOGY 1,MR,12:00 pm-01:50 pm,10,12,-2,1,1,0,0,0,0,Matthew William Goodheart (P),08/29-12/20,SAGE 2510,
2022,Fall,C,58626,ARTS,2020,2,T,4,MUSIC AND TECHNOLOGY 1,MR,12:00 pm-01:50 pm,9,9,0,0,0,0,0,0,0,Matthew William Goodheart (P),08/29-12/20,SAGE 2510,
2022,Fall,NR,59362,ARTS,2040,1,T,4,INTERMEDIATE DIGITAL IMAGING,TR,06:00 pm-07:50 pm,19,16,3,0,0,0,0,0,0,Kathleen Ruiz (P),08/29-12/20,WEST 214,
2022,Fall,NR,58343,ARTS,2070,1,T,4,GRAPHIC STORYTELLING,TF,10:00 am-11:50 am,19,18,1,0,0,0,0,0,0,Nathan Scott Meltz (P),08/29-12/20,WEST 214,
2022,Fall,NR,58358,ARTS,2200,1,T,4,INTERMEDIATE DRAWING,TF,10:00 am-11:50 am,19,14,5,0,0,0,0,0,0,Kenneth A. Ragsdale (P),08/29-12/20,WEST 411,
2022,Fall,NR,57670,ARTS,2210,1,T,4,SCULPTURE I,MR,12:00 pm-01:50 pm,16,15,1,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),08/29-12/20,SAGE 1211,
2022,Fall,NR,58344,ARTS,2230,1,T,4,3D DIGITAL MODELING,TF,08:00 am-09:50 am,19,9,10,0,0,0,0,0,0,"Benjamin Chia-Ming Chang (P), Cassandra Sammartano",08/29-12/20,SAGE 2411,
2022,Fall,NR,59363,ARTS,2300,1,T,1,RENSSELAER ORCHESTRA,MR,04:00 pm-05:50 pm,60,53,7,0,0,0,0,0,0,Robert Michael Whalen (P),08/29-12/20,WEST 326,
2022,Fall,NR,59364,ARTS,2310,1,T,1,RENSSELAER CONCERT CHOIR,MR,06:00 pm-07:50 pm,40,26,14,0,0,0,0,0,0,Robert Michael Whalen (P),08/29-12/20,WEST 326,
2022,Fall,NR,59365,ARTS,2350,1,T,1,CHAMBER MUSIC ENSEMBLE,W,03:00 pm-05:50 pm,40,36,4,0,0,0,0,0,0,Robert Michael Whalen (P),08/29-12/20,WEST 323,
2022,Fall,C,58571,ARTS,2380,1,T,4,MUSIC AND SOUND I,TF,10:00 am-11:50 am,19,19,0,0,0,0,0,0,0,Christopher James Fisher-Lochhead (P),08/29-12/20,WEST 323,
2022,Fall,C,59905,ARTS,2500,1,T,4,HISTORY OF WESTERN MUSIC,TF,10:00 am-11:50 am,19,19,0,0,0,0,0,0,0,Patrick Alan Burke (P),08/29-12/20,WEST 326,Communication Intensive
2022,Fall,NR,59892,ARTS,2510,1,T,4,HIST OF JAZZ & IMPROVIS MUSIC,TF,02:00 pm-03:50 pm,19,11,8,0,0,0,0,0,0,Jillian Grace Willis (P),08/29-12/20,WEST 323,Communication Intensive
2022,Fall,C,59782,ARTS,2570,1,T,4,"MUSIC, SOUND & ENVIRONMENT",TF,12:00 pm-01:50 pm,19,19,0,0,0,0,0,0,0,Kathleen A. Galloway (P),08/29-12/20,WEST 211,Communication Intensive
2022,Fall,C,59053,ARTS,2700,1,T,4,SOUND RECORDING & PROD I,MR,12:00 pm-01:50 pm,4,4,0,2,1,1,0,0,0,Ross A. Rice (P),08/29-12/20,DARRIN 174,
2022,Fall,,,,,,,,,W,04:00 pm-05:50 pm,,,,,,,,,,Ross A. Rice (P),08/29-12/20,DARRIN 174,
2022,Fall,C,59054,ARTS,2700,2,T,4,SOUND RECORDING & PRODUCTION I,MR,12:00 pm-01:50 pm,4,4,0,2,0,2,0,0,0,Ross A. Rice (P),08/29-12/20,DARRIN 174,
2022,Fall,,,,,,,,,W,06:00 pm-07:50 pm,,,,,,,,,,Ross A. Rice (P),08/29-12/20,DARRIN 174,
2022,Fall,C,59055,ARTS,2700,3,T,4,SOUND RECORDING & PROD I,MR,12:00 pm-01:50 pm,4,4,0,2,0,2,0,0,0,Ross A. Rice (P),08/29-12/20,DARRIN 174,
2022,Fall,,,,,,,,,W,08:00 pm-09:50 pm,,,,,,,,,,Ross A. Rice (P),08/29-12/20,DARRIN 174,
2022,Fall,NR,59173,ARTS,2750,1,T,1,PRIVATE MUSIC LESSONS: VIOLIN,,TBA,10,5,5,0,0,0,0,0,0,"Jamecyn F. Morey (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59174,ARTS,2750,2,T,1,PRIVATE MUSIC LESSONS: VIOLA,,TBA,10,2,8,0,0,0,0,0,0,"Jamecyn F. Morey (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59175,ARTS,2750,3,T,1,PRIVATE MUSIC LESSONS: CELLO,,TBA,10,3,7,0,0,0,0,0,0,"David Bebe (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59177,ARTS,2750,5,T,1,PRIVATE MUSIC LESSONS: FLUTE,,TBA,10,2,8,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59178,ARTS,2750,6,T,1,PRIVATE MUSIC LESSONS: OBOE,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59179,ARTS,2750,7,T,1,PRIVATE MUSIC LESSONS:CLARINET,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59180,ARTS,2750,8,T,1,PRIVATE MUSIC LESSONS:BASSOON,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59181,ARTS,2750,9,T,1,PRIVATE MUSIC LESSONS: SAX,,TBA,10,1,9,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59182,ARTS,2750,10,T,1,PRIVATE MUSIC LESSONS: HARP,,TBA,10,0,10,0,0,0,0,0,0,"Karlinda D. Caldicott (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59183,ARTS,2750,11,T,1,PRIVATE MUSIC LESSONS:PERCUSS,,TBA,10,5,5,0,0,0,0,0,0,"Mark Foster (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59184,ARTS,2750,12,T,1,PRIVATE MUSIC LESSONS: TRUMPET,,TBA,10,2,8,0,0,0,0,0,0,"Omar Williams (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
2022,Fall,NR,59185,ARTS,2750,13,T,1,PRIVATE MUSIC LESSONS: VOICE,,TBA,10,6,4,0,0,0,0,0,0,"Elissa Marie Harrigan (P), Christopher James Fisher-Lochhead",08/29-12/20,TBA,
