Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2022,SPRING,C,64746,ARTS,1020,1,T,4,DIGITAL IMAGING,TR,06:00 pm-07:50 pm,19,20,-1,0,0,0,0,0,0,Kathleen Ruiz (P),01/10-05/06,WEST 214,
2022,SPRING,C,63372,ARTS,1030,1,T,4,DIGITAL FILMMAKING,MR,12:00 pm-01:50 pm,19,20,-1,0,0,0,0,0,0,Elizabeth Press (P),01/10-05/06,WEST 211,
2022,SPRING,C,63861,ARTS,1030,2,T,4,DIGITAL FILMMAKING,MR,10:00 am-11:50 am,19,23,-4,0,0,0,0,0,0,Elizabeth Press (P),01/10-05/06,WEST 211,
2022,SPRING,NR,63397,ARTS,1050,1,T,4,ART HISTORY,TF,02:00 pm-03:50 pm,60,52,8,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),01/10-05/06,GREENE 120,Communication Intensive
2022,SPRING,C,62588,ARTS,1200,1,T,4,BASIC DRAWING,MR,02:00 pm-03:50 pm,19,20,-1,19,2,17,0,0,0,Kenneth A. Ragsdale (P),01/10-05/06,WEST 411,
2022,SPRING,NR,62471,ARTS,1200,2,T,4,BASIC DRAWING,TF,12:00 pm-01:50 pm,19,17,2,19,4,15,0,0,0,Kenneth A. Ragsdale (P),01/10-05/06,WEST 411,
2022,SPRING,NR,64597,ARTS,1380,2,T,4,FUNDAMENTALS OF MUSIC & SOUND,MR,08:00 am-09:50 am,15,13,2,0,0,0,0,0,0,Matthew William Goodheart (P),01/10-05/06,WEST 326,
2022,SPRING,C,64391,ARTS,2180,1,T,4,DEEP LISTENING,MR,10:00 am-11:50 am,19,20,-1,0,0,0,0,0,0,Stephanie D Loveless (P),01/10-05/06,WEST 326,Communication Intensive
2022,SPRING,NR,64745,ARTS,2180,2,T,4,DEEP LISTENING,MR,12:00 pm-01:50 pm,19,17,2,0,0,0,0,0,0,Stephanie D Loveless (P),01/10-05/06,WEST 326,Communication Intensive
2022,SPRING,NR,63665,ARTS,2210,1,T,4,SCULPTURE I,MR,12:00 pm-01:50 pm,16,15,1,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),01/10-05/06,SAGE 1211,
2022,SPRING,C,63396,ARTS,2230,1,T,4,3D DIGITAL MODELING,TF,02:00 pm-03:50 pm,19,20,-1,1,0,1,0,0,0,Kolel Christopher Pryor (P),01/10-05/06,SAGE 2411,
2022,SPRING,NR,60431,ARTS,2300,1,T,1,RENSSELAER ORCHESTRA,MR,04:00 pm-05:50 pm,60,40,20,0,0,0,0,0,0,Tamara Dworetz (P),01/10-05/06,WEST 326,
2022,SPRING,NR,60430,ARTS,2310,1,T,1,RENSSELAER CONCERT CHOIR,MR,07:00 pm-08:50 pm,40,21,19,0,0,0,0,0,0,Tamara Dworetz (P),01/10-05/06,WEST 110,
2022,SPRING,C,64744,ARTS,2350,1,T,1,CHAMBER MUSIC ENSEMBLE,W,03:00 pm-05:50 pm,25,30,-5,0,0,0,0,0,0,Tamara Dworetz (P),01/10-05/06,WEST 323,
2022,SPRING,C,64049,ARTS,2380,1,T,4,MUSIC AND SOUND I,TF,12:00 pm-01:50 pm,19,23,-4,0,0,0,0,0,0,Christopher James Fisher-Lochhead (P),01/10-05/06,WEST 323,
2022,SPRING,NR,64747,ARTS,2500,1,T,4,HISTORY OF WESTERN MUSIC,MR,10:00 am-11:50 am,19,16,3,0,0,0,0,0,0,Michael L. Century (P),01/10-05/06,WEST 323,
2022,SPRING,C,64849,ARTS,2510,1,T,4,HIST OF JAZZ & IMPROVIS MUSIC,MR,12:00 pm-01:50 pm,19,20,-1,0,0,0,0,0,0,Michael L. Century (P),01/10-05/06,SAGE 2510,Communication Intensive
2022,SPRING,NR,64367,ARTS,2520,1,T,4,WORLD MUSIC,TF,10:00 am-11:50 am,19,18,1,0,0,0,0,0,0,Kathleen A. Galloway (P),01/10-05/06,WEST 211,Communication Intensive
2022,SPRING,NR,62152,ARTS,2540,1,T,4,THE MULTIMEDIA CENTURY,MR,04:00 pm-05:50 pm,40,35,5,0,0,0,0,0,0,Maryanne Staniszewski (P),01/10-05/06,WEST 323,Communication Intensive
2022,SPRING,C,65062,ARTS,2560,1,T,4,GAME SOUND & MUSICAL PLAY,TF,12:00 pm-01:50 pm,19,16,3,0,0,0,19,23,-4,Kathleen A. Galloway (P),01/10-05/06,WEST 211,Communication Intensive
2022,SPRING,C,64472,ARTS,2700,1,T,4,SOUND RECORDING & PROD I,MR,02:00 pm-03:50 pm,4,4,0,0,0,0,0,0,0,Ross A. Rice (P),01/10-05/06,DARRIN 174,
2022,SPRING,,,,,,,,,T,04:00 pm-05:50 pm,,,,,,,,,,Ross A. Rice (P),01/10-05/06,DARRIN 174,
2022,SPRING,C,64473,ARTS,2700,2,T,4,SOUND RECORDING & PROD I,MR,02:00 pm-03:50 pm,4,4,0,0,0,0,0,0,0,Ross A. Rice (P),01/10-05/06,DARRIN 174,
2022,SPRING,,,,,,,,,T,06:00 pm-07:50 pm,,,,,,,,,,Ross A. Rice (P),01/10-05/06,DARRIN 174,
2022,SPRING,C,64474,ARTS,2700,3,T,4,SOUND RECORDING & PROD I,MR,02:00 pm-03:50 pm,4,4,0,0,0,0,0,0,0,Ross A. Rice (P),01/10-05/06,DARRIN 174,
2022,SPRING,,,,,,,,,T,08:00 pm-09:50 pm,,,,,,,,,,Ross A. Rice (P),01/10-05/06,DARRIN 174,
2022,SPRING,NR,64611,ARTS,2750,1,T,1,PRIVATE MUSIC LESSONS: VIOLIN,,TBA,10,6,4,0,0,0,0,0,0,"Jamecyn F. Morey (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64607,ARTS,2750,2,T,1,PRIVATE MUSIC LESSONS:VIOLA,,TBA,10,1,9,0,0,0,0,0,0,"Jamecyn F. Morey (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64608,ARTS,2750,3,T,1,PRIVATE MUSIC LESSONS: CELLO,,TBA,10,0,10,0,0,0,0,0,0,"David Bebe (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64609,ARTS,2750,4,T,1,PRIVATE MUSIC LESSONS: BASS,,TBA,10,0,10,0,0,0,0,0,0,Christopher James Fisher-Lochhead (P),01/10-05/06,TBA,
2022,SPRING,NR,64610,ARTS,2750,5,T,1,PRIVATE MUSIC LESSONS: FLUTE,,TBA,10,1,9,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64612,ARTS,2750,6,T,1,PRIVATE MUSIC LESSONS: OBOE,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64606,ARTS,2750,7,T,1,PRIVATE MUSIC LESSONS:CLARINET,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64613,ARTS,2750,8,T,1,PRIVATE MUSIC LESSONS: BASSOON,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64614,ARTS,2750,9,T,1,PRIVATE MUSIC LESSONS: SAX,,TBA,10,0,10,0,0,0,0,0,0,"Thomas J. Gerbino (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64615,ARTS,2750,10,T,1,PRIVATE MUSIC LESSONS: PIANO,,TBA,5,4,1,0,0,0,0,0,0,"Akina Yura (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64622,ARTS,2750,11,T,1,PRIVATE MUSIC LESSONS: PIANO,,TBA,10,8,2,0,0,0,0,0,0,"Jingwen Tu (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64617,ARTS,2750,12,T,1,PRIVATE MUSIC LESSONS: PIANO,,TBA,10,8,2,0,0,0,0,0,0,"Chrysi Nanou (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,C,64749,ARTS,2750,13,T,1,PRIVATE MUSIC LESSONS: GUITAR,,TBA,10,11,-1,0,0,0,0,0,0,"Paul J. Quigley (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
2022,SPRING,NR,64748,ARTS,2750,14,T,1,MUSIC LESSONS: EUPHONIUM,,TBA,10,0,10,0,0,0,0,0,0,"Charles W. Olencki (P), Christopher James Fisher-Lochhead",01/10-05/06,TBA,
