Year,Semester,Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
2019,Spring,NR,74525,ARTS,1030,1,T,4,DIGITAL FILMMAKING,MR,12:00 pm-01:50 pm,12,11,1,0,0,0,0,0,0,Elizabeth Press (P),01/10-05/04,WEST 211,
2019,Spring,NR,75254,ARTS,1030,2,T,4,DIGITAL FILMMAKING,MR,12:00 pm-01:50 pm,7,6,1,0,0,0,0,0,0,Elizabeth Press (P),01/10-05/04,WEST 211,
2019,Spring,C,75255,ARTS,1030,3,T,4,DIGITAL FILMMAKING,MR,10:00 am-11:50 am,12,12,0,0,0,0,0,0,0,Elizabeth Press (P),01/10-05/04,WEST 211,
2019,Spring,NR,75469,ARTS,1030,4,T,4,DIGITAL FILMMAKING,MR,10:00 am-11:50 am,7,5,2,0,0,0,0,0,0,Elizabeth Press (P),01/10-05/04,WEST 211,
2019,Spring,C,75470,ARTS,1040,1,T,4,ART FOR INTERACTIVE MEDIA,TF,02:00 pm-03:50 pm,10,11,-1,0,0,0,19,18,1,Matthew Brennan O'Hare (P),01/10-05/04,SAGE 2112,
2019,Spring,NR,75502,ARTS,1040,2,T,4,ART FOR INTERACTIVE MEDIA,TF,02:00 pm-03:50 pm,9,7,2,0,0,0,19,18,1,Matthew Brennan O'Hare (P),01/10-05/04,SAGE 2112,
2019,Spring,NR,74566,ARTS,1050,1,T,4,ART HISTORY: PALEOLITHIC TO CONTEMPORARY,TF,02:00 pm-03:50 pm,60,58,2,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),01/10-05/04,GREENE 120,Communication Intensive
2019,Spring,C,73681,ARTS,1200,1,T,4,BASIC DRAWING,MR,02:00 pm-03:50 pm,19,19,0,19,0,19,0,0,0,Kenneth A. Ragsdale (P),01/10-05/04,WEST 411,
2019,Spring,C,73556,ARTS,1200,2,T,4,BASIC DRAWING,TF,12:00 pm-01:50 pm,19,19,0,19,0,19,0,0,0,Kenneth A. Ragsdale (P),01/10-05/04,WEST 411,
2019,Spring,C,75438,ARTS,1380,1,T,4,FUNDAMENTALS OF MUSIC & SOUND,MR,08:00 am-09:50 am,19,19,0,0,0,0,0,0,0,Christopher James Fisher-Lochhead (P),01/10-05/04,WEST 323,
2019,Spring,C,75504,ARTS,2020,1,T,4,MUSIC AND TECHNOLOGY 1,MR,02:00 pm-03:50 pm,5,6,-1,0,0,0,18,19,-1,John T. Rinker (P),01/10-05/04,WEST 118,
2019,Spring,C,75652,ARTS,2020,2,T,4,MUSIC AND TECHNOLOGY 1,MR,02:00 pm-03:50 pm,13,13,0,10,0,10,18,19,-1,John T. Rinker (P),01/10-05/04,WEST 118,
2019,Spring,NR,75505,ARTS,2060,1,T,4,2D EXPERIMENTAL ANIMATION,TF,08:00 am-09:50 am,19,17,2,0,0,0,0,0,0,Nathan Scott Meltz (P),01/10-05/04,WEST 214,
2019,Spring,C,74927,ARTS,2210,1,T,4,SCULPTURE I,MR,12:00 pm-01:50 pm,16,16,0,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),01/10-05/04,SAGE 1211,
2019,Spring,C,71281,ARTS,2210,2,T,4,SCULPTURE I,MR,04:00 pm-05:50 pm,16,16,0,0,0,0,0,0,0,Jefferson Wille Kielwagen (P),01/10-05/04,SAGE 1211,
